Institute,Program,Quota,Seat,Gender,Note,Code,Opening Rank (int),Closing Rank (int)
University School of Automation & Robotics,B.Tech./M. Tech. (DD) (Al- Ds),HS,EWS,Gender-Neutral,,EWNOHS,117215,117215
University School of Automation & Robotics,B.Tech./M. Tech. (DD) (Al- Ds),HS,OPEN,Gender-Neutral,Defence,OPDFHS,253540,253540
University School of Automation & Robotics,B.Tech./M. Tech. (DD) (Al- Ds),HS,OPEN,Gender-Neutral,,OPNOHS,62074,116805
University School of Automation & Robotics,B.Tech./M. Tech. (DD) (Al- Ds),HS,SC,Gender-Neutral,,SCNOHS,368304,938789
University School of Automation & Robotics,B.Tech./M. Tech. (DD) (Al- Ds),OS,EWS,Gender-Neutral,,EWNOOS,76221,79047
University School of Automation & Robotics,B.Tech./M. Tech. (DD) (Al- Ds),OS,OPEN,Gender-Neutral,Defence,OPDFOS,280603,280603
University School of Automation & Robotics,B.Tech./M. Tech. (DD) (Al- Ds),OS,OPEN,Gender-Neutral,,OPNOOS,47706,68845
University School of Automation & Robotics,B.Tech./M. Tech. (DD) (Al- Ds),OS,OPEN (PwD),Gender-Neutral,,OPPHOS,176627,176627
University School of Automation & Robotics,B.Tech./M. Tech. (DD) (Al- Ds),OS,SC,Gender-Neutral,,SCNOOS,225041,286730
University School of Automation & Robotics,B.Tech./M. Tech. (DD) (Al- Ds),OS,ST,Gender-Neutral,,STNOOS,488329,515419
University School of Automation & Robotics,B.Tech./M. Tech. (DD) (Al- ML),HS,OBC-NCL,Gender-Neutral,Defence,BCDFHS,739249,749348
University School of Automation & Robotics,B.Tech./M. Tech. (DD) (Al- ML),HS,OBC-NCL,Gender-Neutral,,BCNOHS,176661,270227
University School of Automation & Robotics,B.Tech./M. Tech. (DD) (Al- ML),HS,EWS,Gender-Neutral,,EWNOHS,131316,178905
University School of Automation & Robotics,B.Tech./M. Tech. (DD) (Al- ML),HS,OPEN,Gender-Neutral,Defence,OPDFHS,140510,140510
University School of Automation & Robotics,B.Tech./M. Tech. (DD) (Al- ML),HS,OPEN,Gender-Neutral,,OPNOHS,53495,122653
University School of Automation & Robotics,B.Tech./M. Tech. (DD) (Al- ML),HS,OPEN (PwD),Gender-Neutral,,OPPHHS,1121086,1121086
University School of Automation & Robotics,B.Tech./M. Tech. (DD) (Al- ML),HS,SC,Gender-Neutral,,SCNOHS,212198,817353
University School of Automation & Robotics,B.Tech./M. Tech. (DD) (Al- ML),OS,EWS,Gender-Neutral,,EWNOOS,76185,79396
University School of Automation & Robotics,B.Tech./M. Tech. (DD) (Al- ML),OS,OPEN,Gender-Neutral,Defence,OPDFOS,304050,304050
University School of Automation & Robotics,B.Tech./M. Tech. (DD) (Al- ML),OS,OPEN,Gender-Neutral,,OPNOOS,55448,72354
