Institute,Program,Quota,Seat,Gender,Note,Code,Opening Rank (int),Closing Rank (int)
"Maharaja Agrasen Institute of Technology, Sector-22, Rohini, Delhi 4€"" 110085",CSE-Al,OS,SC,Gender-Neutral,,SCNOOS,241016,241016
"Maharaja Agrasen Institute of Technology, Sector-22, Rohini, Delhi 4€* 110085",CSE- AIML,HS,OPEN,Gender-Neutral,Defence,OPDFHS,184615,187003
"Maharaja Agrasen Institute of Technology, Sector-22, Rohini, Delhi 4€* 110085",CSE- AIML,HS,OPEN,Gender-Neutral,,OPNOHS,36395,36395
"Maharaja Agrasen Institute of Technology, Sector-22, Rohini, Delhi 4€* 110085",CSE- AIML,HS,OPEN (PwD),Gender-Neutral,,OPPHHS,405355,405355
"Maharaja Agrasen Institute of Technology, Sector-22, Rohini, Delhi 4€* 110085",CSE- AIML,HS,SC,Gender-Neutral,,SCNOHS,288922,571629
"Maharaja Agrasen Institute of Technology, Sector-22, Rohini, Delhi 4€* 110085",CSE- AIML,OS,OPEN,Gender-Neutral,,OPNOOS,21436,54071
"Maharaja Agrasen Institute of Technology, Sector-22, Rohini, Delhi 4€* 110085",CSE- AIML,OS,SC,Gender-Neutral,,SCNOOS,251523,251523
"Maharaja Agrasen Institute of Technology, Sector-22, Rohini, Delhi 4€* 110085",CSE- AIML,OS,ST,Gender-Neutral,,STNOOS,417624,417624
"Institute Maharaja Agrasen Institute of Technology, Sector-22, Rohini, Delhi 4€"" 110085",Course CSE- DS,HS,OPEN,Gender-Neutral,Defence,OPDFHS,211235,214307
"Institute Maharaja Agrasen Institute of Technology, Sector-22, Rohini, Delhi 4€"" 110085",Course CSE- DS,HS,OPEN,Gender-Neutral,,OPNOHS,63592,63592
"Institute Maharaja Agrasen Institute of Technology, Sector-22, Rohini, Delhi 4€"" 110085",Course CSE- DS,HS,SC,Gender-Neutral,,SCNOHS,454787,610264
"Institute Maharaja Agrasen Institute of Technology, Sector-22, Rohini, Delhi 4€"" 110085",Course CSE- DS,OS,OPEN,Gender-Neutral,,OPNOOS,52632,57886
"Institute Maharaja Agrasen Institute of Technology, Sector-22, Rohini, Delhi 4€"" 110085",Course CSE- DS,OS,SC,Gender-Neutral,,SCNOOS,253430,253430
"Institute Maharaja Agrasen Institute of Technology, Sector-22, Rohini, Delhi 4€"" 110085",Course CSE- DS,OS,ST,Gender-Neutral,,STNOOS,589299,589299
"Maharaja Agrasen Institute of Technology, Sector-22, Rohini, Delhi 4€"" 110085",Electrical & Electronics Engineering,HS,OPEN,Gender-Neutral,Defence,OPDFHS,417587,431761
"Maharaja Agrasen Institute of Technology, Sector-22, Rohini, Delhi 4€"" 110085",Electrical & Electronics Engineering,HS,OPEN,Gender-Neutral,,OPNOHS,100885,223405
