Round,Institute,Program,Quota,Seat,Gender,Note,Opening Rank (int),Closing Rank (int)
Round 1,"Faculty Of Engg, Agra College,Agra",Computer Science and Engineering,HS,SC,Female-only (including Supernumerary),,659812,945949
Round 1,"I.T.S. Engg.College,Gautam Buddh Nagar",Electrical and Computer Engineering,HS,OPEN,Gender-Neutral,,825663,952550
Round 1,"S R Group Of Institutions (College Of Science And Engineering),Jhansi",Computer Science And Engineering(Data Science) (FW),HS,OPEN,Gender-Neutral,TF,1073724,1073724
Round 1,Ch. Charan Singh University Campus (Scriet) Meerut,Electronics & Instrumentation Engineering,HS,SC,Female-only (including Supernumerary),,1232980,1232980
Round 1,Lloyd Institute Of Engineering And Technology,Computer Science and Engineering,HS,EWS,Female-only (including Supernumerary),,1428709,1428709
Round 1,"Iimt College Of Engineering,Gautam Buddh Nagar",Information Technology,HS,OPEN,Gender-Neutral,,996527,1422815
Round 1,"Buddha Institute Of Technology,Gorakhpur",Electronics Engineering (VLSI Design and Technology),HS,OPEN,Gender-Neutral,,1274755,1274755
Round 1,"Kiet Group Of Institutions(Krishna Instt. Of Engg. & Technology),Ghaziabad",Advanced Mechatronics and Industrial Automation,HS,EWS,Female-only (including Supernumerary),,784333,784333
Round 1,"G.L.Bajaj Group Of Institutions,Mathura",Computer Science and Engineering,HS,OBC-NCL,Gender-Neutral,,894213,1474955
Round 1,"Kiet Group Of Institutions(Krishna Instt. Of Engg. & Technology),Ghaziabad",Electrical & Electronics Engineering,HS,OPEN,Gender-Neutral,AF,589416,589416
Round 1,"Rajkiya Engineering College,Mainpuri",Electrical Engineering,HS,EWS,Female-only (including Supernumerary),,930145,965251
Round 1,"Noida Institute Of Engg. & Technology,Gautam Buddh Nagar",Information Technology,HS,SC,Gender-Neutral,,1071929,1071929
Round 1,"Maharana Institute Of Professional Studies,Kanpur",Computer Science And Engineering(Data Science),HS,OPEN,Female-only (including Supernumerary),,1030857,1030857
Round 1,"I.M.S. Engineering College,Ghaziabad",Computer Science And Engineering(Artificial Intelligence & Machine Learning),HS,OBC-NCL,Gender-Neutral,,651316,1275990
Round 1,"Bundelkhand University, Jhansi",Food Engineering & technology,HS,EWS,Female-only (including Supernumerary),,1050961,1050961
Round 1,"Babu Sunder Singh Institute Of Technology & Management,Lucknow",Agricultural Engineering (FW),HS,OPEN,Gender-Neutral,TF,1384001,1384001
Round 1,"J.S.S. Academy Of Technical Education,Gautam Buddh Nagar",Computer Science And Engineering(Artificial Intelligence & Machine Learning),HS,EWS,Gender-Neutral,AF,170486,170486
Round 1,"Pranveer Singh Institute Of Technology,Kanpur",Computer Science and Engineering (Artificial Intelligence),HS,SC,Gender-Neutral,,633103,1180400
Round 1,"Shri Ram Swaroop Memorial College Of Engg. & Management,Lucknow",Computer Science & Engineering (Cyber Security),HS,OPEN,Gender-Neutral,AF,1091275,1091275
Round 1,"Ajay Kumar Garg Engg. College,Ghaziabad",Computer Science (Hindi),HS,SC,Gender-Neutral,,774425,934150
Round 1,"Noida Institute Of Engg. & Technology,Gautam Buddh Nagar",Mathematics and Computing,HS,OBC-NCL,Female-only (including Supernumerary),,993257,1127267
Round 1,"Institute Of Engineering & Technology,Lucknow",Electronics and Communication Engineering,HS,EWS (PwD),Gender-Neutral,,964307,964307
Round 1,"Bundelkhand University, Jhansi",Electronics and Communication Engineering,HS,OBC-NCL,Gender-Neutral,AF,685663,685663
Round 1,"S R Group Of Institutions (College Of Science And Engineering),Jhansi",Computer Science & Engineering (Cyber Security),HS,OPEN,Female-only (including Supernumerary),,675414,788518
Round 1,"Dev Bhoomi Group Of Institutions,Saharanpur",Computer Science and Engineering (FW),HS,OPEN,Gender-Neutral,TF,349378,349378
Round 1,"Institute Of Engineering & Technology,Lucknow",Electrical Engineering,HS,OBC-NCL,Gender-Neutral,AF,95267,95267
Round 1,"United Institute Of Technology,Allahabad",Electrical Engineering,HS,OPEN,Gender-Neutral,,485043,748495
Round 1,"Moradabad Institute Of Technology,Moradabad",Computer Science And Engineering(Internet Of Things),HS,OPEN,Gender-Neutral,,1073333,1338965
Round 1,"Rajkiya Engineering College,Bijnor",Information Technology,HS,ST,Gender-Neutral,,958337,958337
Round 1,"Naraina College Of Engineering & Technology,Kanpur",Computer Science And Engineering(Data Science),HS,OPEN,Gender-Neutral,,691275,742646
Round 1,"Abes Institute Of Technology,Ghaziabad",Computer Science and Engineering,HS,OBC-NCL,Gender-Neutral,AF,1197163,1197163
Round 1,"Kiet Group Of Institutions(Krishna Instt. Of Engg. & Technology),Ghaziabad",Electrical & Electronics Engineering,HS,OBC-NCL,Gender-Neutral,AF,789161,789161
Round 1,"Ajay Kumar Garg Engg. College,Ghaziabad",Computer Science and Engineering,HS,OPEN (PwD),Gender-Neutral,,1206994,1206994
Round 1,"Maa Pateshwari Devi Rajkiya  Engineering College, Gonda",Electrical Engineering,HS,OBC-NCL,Gender-Neutral,,899323,1078731
Round 1,"Kipm College Of Engg. & Technology,Gorakhpur",Computer Science And Engineering(Artificial Intelligence & Machine Learning),HS,OPEN,Female-only (including Supernumerary),,835089,1338607
Round 1,"School Of Management Science (Sms Institute Of Technology),Lucknow",Computer Science And Engineering(Internet Of Things) (FW),HS,OPEN,Gender-Neutral,TF,902445,902445
Round 1,"S.D.College Of Engineering & Technology,Muzaffarnagar",Information Technology,HS,OPEN,Female-only (including Supernumerary),,1351821,1351821
Round 1,"Shambhu Nath Institute Of Engg. & Technolgy,Allahabad",Mechanical Engineering,HS,OPEN,Gender-Neutral,,1464018,1464018
Round 1,"Galgotia'S College Of Engg. & Technology,Gautam Buddh Nagar",Computer Science and Engineering (Artificial Intelligence),HS,EWS,Gender-Neutral,AF,773409,773409
Round 1,"Babu Banarasi Das Institute Of Technology And Management, Lucknow",Computer Science and Engineering,HS,SC,Female-only (including Supernumerary),,903426,1397527
Round 1,"Ambalika Institute Of Management & Technology,Lucknow",Civil Engineering,HS,OPEN,Gender-Neutral,,644616,1315228
Round 1,"Bharat Ratna Sardar Vallabhbhai Patel Rajkiya Engineering College, Basti",Electronics Engineering,HS,SC,Gender-Neutral,,744076,1169297
Round 1,"Rajkiya Engineering College,Kannauj",Civil Engineering,HS,OPEN,Gender-Neutral,AF,879645,879645
Round 1,"Raj Kumar Goel Instt. Of Technology,Ghaziabad",Computer Science And Engineering(Data Science),HS,SC,Female-only (including Supernumerary),,1016579,1248181
Round 1,"Lloyd Institute Of Management & Technology,Gautam Buddh Nagar",Computer Science and Engineering,HS,OPEN,Female-only (including Supernumerary),,483330,1350804
Round 1,"Indian Institute Of Handloom Technology,Varanasi",Handloom & Textile Technology,HS,SC,Gender-Neutral,,1146274,1146274
Round 1,"Raj Kumar Goel Instt. Of Technology,Ghaziabad",Computer Science,HS,SC,Gender-Neutral,,1138788,1192064
Round 1,"Babu Banarasi Das Northern India Institute Of Technology,Lucknow",Computer Science and Engineering (Artificial Intelligence),HS,OPEN,Female-only (including Supernumerary),,146409,825858
Round 1,"Kanpur Institute Of Technology,Kanpur",Biotechnology,HS,OPEN,Female-only (including Supernumerary),,1003078,1003078
Round 1,"Rajkiya Engineering College,Kannauj",Computer Science and Engineering,HS,ST,Female-only (including Supernumerary),,672325,672325
Round 1,"Galgotia'S College Of Engg. & Technology,Gautam Buddh Nagar",Electronics Engineering (VLSI Design and Technology),HS,SC,Gender-Neutral,,861565,861565
Round 1,"Rajarshi Rananjay Singh Institute Of Management & Technology,Sultanpur",Electrical & Electronics Engineering,HS,OPEN,Gender-Neutral,,1041312,1041312
Round 1,"G.L. Bajaj Institute Of Technology & Management,Gautam Buddh Nagar",Computer Science and Engineering,HS,ST,Female-only (including Supernumerary),,664594,664594
Round 1,"Vivekananda College Of Technology & Management,Aligarh",Electronics and Communication Engineering,HS,OPEN,Gender-Neutral,,534918,1419370
Round 1,"G.C.R.G. Memorial Trust'S Group Of Institutions, Faculty Of Engineering,Lucknow",Mechanical Engineering,HS,OPEN,Gender-Neutral,,1449698,1449698
Round 1,"Bharat Institute Of Technology,Meerut",Computer Science And Engineering(Artificial Intelligence & Machine Learning),HS,OPEN,Female-only (including Supernumerary),,892160,968118
Round 1,"Raj Kumar Goel Instt. Of Technology,Ghaziabad",Computer Science,HS,EWS,Female-only (including Supernumerary),,1406255,1406255
Round 1,"Inderprastha Engg. College,Ghaziabad",Information Technology,HS,OPEN,Gender-Neutral,,361693,1361152
Round 1,"Kamla Nehru Institute Of Technology,Sultanpur",Mechanical Engineering,HS,OBC-NCL,Gender-Neutral,AF,248544,248587
Round 1,"Institute Of Engineering & Technology,Lucknow",Computer Science and Engineering (Artificial Intelligence),HS,OBC-NCL,Gender-Neutral,FF,295588,295588
Round 1,"Shri Ram Swaroop Memorial College Of Engg. & Management,Lucknow",Computer Science And Engineering(Data Science),HS,OPEN,Gender-Neutral,AF,1391041,1391041
Round 1,"B.B.S.College Of Engginering And Technology,Allahabad",Electronics and Communication Engineering,HS,OPEN,Gender-Neutral,,418606,990266
Round 1,"Galgotia'S College Of Engg. & Technology,Gautam Buddh Nagar",Electronics Engineering (VLSI Design and Technology),HS,OPEN,Gender-Neutral,AF,683376,683376
Round 1,"Kipm College Of Engg. & Technology,Gorakhpur",Electronics and Communication Engineering,HS,OPEN,Female-only (including Supernumerary),,562816,1346428
Round 1,"Nitra Technical Campus,Ghaziabad",Computer Science and Engineering,HS,OPEN,Gender-Neutral,AF,459617,1071534
Round 1,"Greater Noida Institute Of Technology,Gautam Buddh Nagar",Computer Science & Engineering (Cyber Security),HS,OBC-NCL,Gender-Neutral,,841039,1419952
Round 1,"Noida Institute Of Engg. & Technology,Gautam Buddh Nagar",Computer Science (Hindi),HS,SC,Female-only (including Supernumerary),,1209251,1209251
Round 1,"Meerut Institute Of Engineering & Technology,Meerut",Computer Science and Engineering (Artificial Intelligence),HS,SC,Gender-Neutral,,822398,1305965
Round 1,"Fit Engineering College,Meerut",Computer Science and Engineering,HS,OPEN,Gender-Neutral,,535660,1451463
Round 1,"S R Group Of Institutions (College Of Science And Engineering),Jhansi",Computer Science & Engineering (Cyber Security),HS,SC,Female-only (including Supernumerary),,1119248,1413660
Round 1,"Pranveer Singh Institute Of Technology,Kanpur",Electronics and Communication Engineering,HS,SC,Gender-Neutral,,841542,1420756
Round 1,"Kanpur Institute Of Technology,Kanpur",Computer Science And Engineering(Data Science),HS,OPEN,Female-only (including Supernumerary),,180404,1045900
Round 1,"Galgotia'S College Of Engg. & Technology,Gautam Buddh Nagar",Electronics Engineering (VLSI Design and Technology) (FW),HS,OPEN,Gender-Neutral,TF,166846,222069
Round 1,"I.T.S. Engg.College,Gautam Buddh Nagar",Computer Science And Engineering(Artificial Intelligence & Machine Learning),HS,SC,Gender-Neutral,,1415248,1415248
Round 1,"Centre For Advance Studies,Lucknow",Computer Science and Engineering,HS,SC,Female-only (including Supernumerary),,239386,269739
Round 1,"Ashoka Institute Of Technology & Management,Varanasi",Computer Science and Engineering (FW),HS,OPEN,Gender-Neutral,TF,150981,479782
Round 1,"R.R.Institute Of Modern Technology,Lucknow",Computer Science And Engineering(Artificial Intelligence & Machine Learning),HS,OBC-NCL,Gender-Neutral,,1347782,1461922
Round 1,"I.T.S. Engg.College,Gautam Buddh Nagar",Mechanical Engineering,HS,OPEN,Gender-Neutral,,956802,1279067
Round 1,"I.M.S. Engineering College,Ghaziabad",Information Technology,HS,EWS,Female-only (including Supernumerary),,976685,976685
Round 1,"S R Group Of Institutions (College Of Science And Engineering),Jhansi",Computer Science And Engineering(Data Science),HS,OPEN,Gender-Neutral,,673454,1459903
Round 1,"Institute Of Technology & Management,Aligarh",Computer Science and Engineering,HS,OPEN,Female-only (including Supernumerary),,552288,1236474
Round 1,"Hi-Tech. Institute Of Engineering &Technology,Ghaziabad",Computer Science And Engineering(Artificial Intelligence & Machine Learning),HS,OPEN,Female-only (including Supernumerary),,244618,536520
Round 1,"R.V.Institute Of Technology,Bijnaur",Electrical Engineering,HS,OPEN,Gender-Neutral,,1234767,1234767
Round 1,"Mg Institute Of Management & Technology,Lucknow",Computer Science And Engineering(Artificial Intelligence & Machine Learning),HS,OPEN,Gender-Neutral,,797522,1359074
Round 1,"G.L.Bajaj Group Of Institutions,Mathura",Computer Science And Engineering(Artificial Intelligence & Machine Learning),HS,OPEN,Gender-Neutral,AF,931989,1062226
Round 1,"Kamla Nehru Institute Of Technology,Sultanpur",Mechanical Engineering,HS,OPEN,Gender-Neutral,AF,171325,171325
Round 1,"Dr. Virendra Swarup Memorial Trust Group Of Institutions,Unnao",Computer Science and Engineering,HS,OPEN,Female-only (including Supernumerary),,577462,1345771
Round 1,"Ajay Kumar Garg Engg. College,Ghaziabad",Computer Science and Engineering,HS,ST,Gender-Neutral,,591911,1278221
Round 1,"Shri Ram Swaroop Memorial College Of Engg. & Management,Lucknow",Electrical Engineering,HS,OPEN,Female-only (including Supernumerary),,1025953,1025953
Round 1,"Babu Banarsi Das Institute Of Tech.,Ghaziabad",Computer Science and Engineering,HS,OPEN,Female-only (including Supernumerary),,479947,1033207
Round 1,"S R Group Of Institutions (College Of Science And Engineering),Jhansi",Electrical Engineering,HS,OPEN,Gender-Neutral,,629291,1181103
Round 1,"Kashi Institute Of Technology,Varanasi",Computer Science And Engineering(Artificial Intelligence & Machine Learning),HS,OPEN,Gender-Neutral,,282579,1387930
Round 1,"Meerut Institute Of Engineering & Technology,Meerut",Computer Science and Engineering,HS,OBC-NCL,Female-only (including Supernumerary),,909080,1278195
Round 1,"Moradabad Institute Of Technology,Moradabad",Computer Science and Engineering,HS,SC,Female-only (including Supernumerary),,1295149,1295149
Round 1,"Dr. Rizvi College Of Engineering,,Kaushambi",Computer Science and Engineering (FW),HS,OPEN,Gender-Neutral,TF,1041211,1041211
Round 1,"Meerut Institute Of Engineering & Technology,Meerut",Chemical Engineering,HS,OPEN,Gender-Neutral,,1058328,1223600
Round 1,"Panchwati Institute Of Engineering & Technology,Meerut",Mechanical Engineering,HS,OPEN,Gender-Neutral,,1301547,1301547
Round 1,"United College Of Engineering & Research,Allahabad",Computer Science and Engineering,HS,OPEN,Gender-Neutral,AF,1070031,1070031
Round 1,"Meerut Institute Of Engineering & Technology,Meerut",Computer Science and Engineering,HS,SC,Female-only (including Supernumerary),,893202,1154757
Round 1,"Greater Noida Institute Of Technology,Gautam Buddh Nagar",Mechanical Engineering,HS,OPEN,Gender-Neutral,,1150124,1150124
Round 1,"Bundelkhand Institute Of Engineering & Technology,Jhansi",Electrical Engineering,HS,OPEN,Gender-Neutral,FF,800323,800323
Round 1,"Apollo Institute Of Technology,Kanpur",Computer Science And Engineering(Artificial Intelligence & Machine Learning),HS,OPEN,Female-only (including Supernumerary),,634472,634472
Round 1,"Raj Kumar Goel Institute Of Technology & Management,Ghaziabad",Electronics and Communication Engineering,HS,OPEN,Gender-Neutral,,1277007,1325755
Round 1,"J.P..Institute Of Engineering & Technology,Meerut",Computer Science and Engineering,HS,OPEN,Female-only (including Supernumerary),,664755,893474
Round 1,"M. J. P. Ruhelkhand University, Bareilly",Electronics Engineering,HS,ST,Gender-Neutral,,1238803,1238803
Round 1,"Galgotia'S College Of Engg. & Technology,Gautam Buddh Nagar",Civil Engineering,HS,EWS,Gender-Neutral,,784036,1355268
Round 1,"Noida Institute Of Engg. & Technology,Gautam Buddh Nagar",Computer Science and Engineering (Artificial Intelligence),HS,OBC-NCL,Gender-Neutral,AF,1197080,1354087
Round 1,"Meerut Institute Of Technology,Meerut",Mechanical Engineering,HS,OPEN,Gender-Neutral,,838783,838783
Round 1,"Samrat Ashok Rajkiya Engineering College, Mirzapur",Electrical Engineering,HS,OPEN,Female-only (including Supernumerary),,378330,1090269
Round 1,"Rajkiya Engineering College,Mainpuri",Computer Science and Engineering,HS,OPEN,Gender-Neutral,AF,349185,357020
Round 1,"Veer Bahadur Singh Purvanchal University, Jaunpur",Computer Science and Engineering,HS,SC,Female-only (including Supernumerary),,992357,992357
Round 1,"Hindustan College Of Science & Technology,Mathura",Mechanical Engineering,HS,OPEN,Gender-Neutral,,1125820,1125820
Round 1,"Seth Vishambhar Nath Institute Of Engg. & Technology,Barabanki",Computer Science and Engineering,HS,OPEN,Female-only (including Supernumerary),,1086340,1226389
Round 1,"Kanpur Institute Of Technology,Kanpur",Mechanical Engineering,HS,OPEN,Gender-Neutral,,790671,1373867
Round 1,"Eshan College Of Engineering,Mathura",Computer Science and Engineering,HS,OPEN,Female-only (including Supernumerary),,686836,1451176
Round 1,"Uttar Pradesh Textile Technology Institute,Kanpur",Textile Engineering,HS,SC,Female-only (including Supernumerary),,1030603,1330023
Round 1,"Bundelkhand Institute Of Engineering & Technology,Jhansi",Artificial Intelligence And Machine Learning,HS,OBC-NCL,Gender-Neutral,AF,133607,133607
Round 1,"Institute Of Engineering & Technology,Lucknow",Chemical Engineering,HS,ST,Gender-Neutral,,380163,380163
Round 1,"School Of Management Science (Sms Institute Of Technology),Lucknow",Computer Science And Engineering(Artificial Intelligence & Machine Learning),HS,OPEN,Gender-Neutral,,491571,1387151
Round 1,"D. D. U. Gorakhpur University, Gorakhpur",Mechanical Engineering,HS,SC,Gender-Neutral,,912819,1394747
Round 1,"United College Of Engineering & Research,Allahabad",Mechanical Engineering,HS,OPEN,Female-only (including Supernumerary),,316634,316634
Round 1,"Samrat Ashok Rajkiya Engineering College, Mirzapur",Electrical Engineering,HS,OBC-NCL,Gender-Neutral,,783894,984873
Round 1,"Greater Noida Institute Of Technology,Gautam Buddh Nagar",Computer Science And Engineering(Artificial Intelligence & Machine Learning),HS,SC,Gender-Neutral,,1157417,1173242
Round 1,"Institute Of Engineering & Technology,Lucknow",Computer Science and Engineering,HS,OBC-NCL,Gender-Neutral,AF,50740,50740
Round 2,"Buddha Institute Of Technology,Gorakhpur",Computer Science (FW),HS,OPEN,Gender-Neutral,TF,769075,769075
Round 2,"Buddha Institute Of Technology,Gorakhpur",Computer Science And Engineering(Artificial Intelligence & Machine Learning),HS,OPEN,Gender-Neutral,,558338,1464379
Round 2,"Jahangirabad Educational Trust'S Group Of Institutions, Faculty Of Engineering,Barabanki",Computer Science and Engineering,HS,OPEN,Gender-Neutral,,248623,248623
Round 2,"Chaudhary Beeri Singh College Of Engineering & Management,Agra",Computer Science and Engineering,HS,OPEN,Gender-Neutral,,556028,556028
Round 2,"Ashoka Institute Of Technology & Management,Varanasi",Computer Science And Engineering(Data Science),HS,OPEN,Female-only (including Supernumerary),,1351453,1351453
Round 2,"Buddha Institute Of Technology,Gorakhpur",Computer Science and Engineering,HS,OPEN,Gender-Neutral,,820065,1319021
Round 2,"Allenhouse Institute Of Technology,Kanpur",Electronics and Communication Engineering,HS,OPEN,Gender-Neutral,,562831,562831
Round 2,"G.L.Bajaj Group Of Institutions,Mathura",Computer Science And Engineering(Artificial Intelligence & Machine Learning),HS,OBC-NCL,Female-only (including Supernumerary),,918545,918545
Round 2,"G.L.Bajaj Group Of Institutions,Mathura",Computer Science And Engineering(Artificial Intelligence & Machine Learning),HS,OBC-NCL,Gender-Neutral,,1111029,1111029
Round 2,"G.L.Bajaj Group Of Institutions,Mathura",Computer Science And Engineering(Artificial Intelligence & Machine Learning),HS,EWS,Female-only (including Supernumerary),,1002855,1002855
Round 2,"G.L.Bajaj Group Of Institutions,Mathura",Computer Science And Engineering(Artificial Intelligence & Machine Learning),HS,SC,Gender-Neutral,,1249779,1249779
Round 2,"Kothiwal Institute Of Technology & Professional Studies,Moradabad",Information Technology,HS,OPEN,Gender-Neutral,,1127488,1127488
Round 2,"Buddha Institute Of Technology,Gorakhpur",Electronics and Communication Engineering,HS,OPEN,Gender-Neutral,,1071005,1071005
Round 2,"Axis Institute Of Technology & Management,Kanpur",Computer Science And Engineering(Data Science),HS,OPEN,Gender-Neutral,,725271,725271
Round 2,"Babu Sunder Singh Institute Of Technology & Management,Lucknow",Artificial Intelligence And Machine Learning,HS,OPEN,Gender-Neutral,,1253049,1253049
Round 2,"Rajkiya Engineering College,Banda",Information Technology,HS,OPEN,Female-only (including Supernumerary),,201839,201839
Round 2,"Rajkiya Engineering College,Banda",Information Technology,HS,ST,Gender-Neutral,,1308050,1331900
Round 2,"Rajkiya Engineering College,Banda",Information Technology (FW),HS,OPEN,Gender-Neutral,TF,142660,168506
Round 2,"Rajkiya Engineering College,Banda",Mechanical Engineering,HS,EWS,Female-only (including Supernumerary),,1355226,1355226
Round 2,"Rajkiya Engineering College,Bijnor",Civil Engineering,HS,OBC-NCL,Female-only (including Supernumerary),,598009,1170709
Round 2,"Rajkiya Engineering College,Bijnor",Civil Engineering,HS,OBC-NCL,Gender-Neutral,,542141,652921
Round 2,"Rajkiya Engineering College,Bijnor",Civil Engineering,HS,EWS,Gender-Neutral,,591275,869245
Round 2,"Rajkiya Engineering College,Banda",Information Technology,HS,EWS,Female-only (including Supernumerary),,232269,294734
Round 2,"Sri Ram Group Of Colleges,Muzaffarnagar",Computer Science and Engineering,HS,OPEN,Gender-Neutral,,1283311,1283311
Round 2,"Sri Ram Group Of Colleges,Muzaffarnagar",Artificial Intelligence And Machine Learning,HS,OBC-NCL,Gender-Neutral,,1355515,1355515
Round 2,"Sri Ram Group Of Colleges,Muzaffarnagar",Artificial Intelligence And Machine Learning,HS,OPEN,Female-only (including Supernumerary),,1267999,1267999
Round 2,"Axis Institute Of Technology & Management,Kanpur",Civil Engineering (FW),HS,OPEN,Gender-Neutral,TF,745980,745980
Round 2,"Ashoka Institute Of Technology & Management,Varanasi",Computer Science And Engineering(Data Science) (FW),HS,OPEN,Gender-Neutral,TF,292110,292110
Round 2,"Axis Institute Of Technology & Management,Kanpur",Computer Science And Engineering(Data Science) (FW),HS,OPEN,Gender-Neutral,TF,619177,619177
Round 2,"Rajkiya Engineering College,Banda",Electrical Engineering,HS,OBC-NCL,Female-only (including Supernumerary),,356468,361548
Round 2,"Rajkiya Engineering College,Banda",Electrical Engineering (FW),HS,OPEN,Gender-Neutral,TF,262863,280594
Round 2,"B.N.College Of Engineering & Technology(Bncet),Lucknow",Civil Engineering (FW),HS,OPEN,Gender-Neutral,TF,772326,772326
Round 2,"Dev Bhoomi Group Of Institutions,Saharanpur",Computer Science and Engineering,HS,OPEN,Female-only (including Supernumerary),,1027198,1049692
Round 2,"Kashi Institute Of Technology,Varanasi",Computer Science And Engineering(Artificial Intelligence & Machine Learning),HS,OPEN,Female-only (including Supernumerary),,1367701,1367701
Round 2,"Maharana Institute Of Tech. & Sciences,Lucknow",Computer Science And Engineering(Data Science),HS,OPEN,Gender-Neutral,,397883,397883
Round 2,"B.N.College Of Engineering & Technology(Bncet),Lucknow",Computer Science and Engineering,HS,OPEN,Gender-Neutral,,1458281,1458281
Round 2,"B.N.College Of Engineering & Technology(Bncet),Lucknow",Electrical Engineering,HS,OPEN,Gender-Neutral,,814342,814342
Round 2,"B.N.College Of Engineering & Technology(Bncet),Lucknow",Computer Science And Engineering(Artificial Intelligence & Machine Learning),HS,OPEN,Gender-Neutral,,1411555,1411555
Round 2,"Kashi Institute Of Technology,Varanasi",Electronics and Communication Engineering,HS,OPEN,Female-only (including Supernumerary),,782773,782773
Round 2,"Himalayan Institute Of Technology & Management,Lucknow",Computer Science and Engineering,HS,OPEN,Gender-Neutral,,1425424,1425424
Round 2,"G.C.R.G. Memorial Trust'S Group Of Institutions, Faculty Of Engineering,Lucknow",Computer Science and Engineering,HS,OPEN,Female-only (including Supernumerary),,1216971,1216971
Round 2,"Rajshree Institute Of Management & Technology,Bareilly",Computer Science and Engineering,HS,OPEN,Gender-Neutral,,1049074,1049074
Round 2,"Institute Of Technology & Management,Lucknow",Computer Science and Engineering,HS,OPEN,Female-only (including Supernumerary),,194740,1359250
Round 2,"Institute Of Technology & Management,Lucknow",Information Technology,HS,OPEN,Female-only (including Supernumerary),,198052,198052
Round 2,"Institute Of Technology & Management,Lucknow",Automobile Engineering,HS,OPEN,Gender-Neutral,,120452,120452
Round 2,"Institute Of Technology & Management,Lucknow",Agriculture Engineering,HS,OPEN,Gender-Neutral,,829537,829537
Round 2,"Bansal Institute Of Engineering & Technology,Lucknow",Information Technology,HS,OPEN,Gender-Neutral,,1449675,1449675
Round 2,"Bansal Institute Of Engineering & Technology,Lucknow",Mechanical Engineering,HS,OPEN,Gender-Neutral,,1058383,1058383
Round 2,"Bansal Institute Of Engineering & Technology,Lucknow",Electronics and Communication Engineering,HS,OPEN,Gender-Neutral,,1409080,1409080
Round 2,"Rajkiya Engineering College,Banda",Electrical Engineering,HS,SC,Female-only (including Supernumerary),,1436566,1436566
Round 2,"Kashi Institute Of Technology,Varanasi",Computer Science and Engineering,HS,OPEN,Female-only (including Supernumerary),,840792,1296967
Round 2,"Bansal Institute Of Engineering & Technology,Lucknow",Computer Science And Engineering(Artificial Intelligence & Machine Learning),HS,OPEN,Female-only (including Supernumerary),,778568,778568
Round 2,"School Of Management Science (Sms Institute Of Technology),Lucknow",Computer Science and Engineering,HS,OPEN,Female-only (including Supernumerary),,1388292,1388292
Round 2,"School Of Management Science (Sms Institute Of Technology),Lucknow",Mechanical Engineering,HS,OPEN,Gender-Neutral,,1388276,1388276
Round 2,"School Of Management Science (Sms Institute Of Technology),Lucknow",Artificial Inelligence (AI) And Data Science,HS,OPEN,Gender-Neutral,,1008619,1008619
Round 2,"Kcc Institute Of Technology & Management,Gautam Buddh Nagar",Computer Science And Engineering(Data Science),HS,OPEN,Gender-Neutral,,531313,962087
Round 2,"Maharaja Agrasen College Of Engineering & Technology,J.P.Nagar",Computer Science and Engineering,HS,OPEN,Gender-Neutral,,780633,1289196
Round 2,"Maharaja Agrasen College Of Engineering & Technology,J.P.Nagar",Computer Science and Engineering (FW),HS,OPEN,Gender-Neutral,TF,989066,989066
Round 2,"Delhi Institute Of Engineering & Technology,Meerut",Computer Science and Engineering,HS,OPEN,Gender-Neutral,,731604,731604
Round 2,"R.V.Institute Of Technology,Bijnaur",Computer Science and Engineering,HS,OPEN,Female-only (including Supernumerary),,220681,1206285
Round 2,"R.V.Institute Of Technology,Bijnaur",Computer Science and Engineering,HS,OPEN,Gender-Neutral,,682345,1271938
Round 2,"R.V.Institute Of Technology,Bijnaur",Computer Science and Engineering (FW),HS,OPEN,Gender-Neutral,TF,874833,874833
Round 2,"R.V.Institute Of Technology,Bijnaur",Electronics and Communication Engineering,HS,OPEN,Gender-Neutral,,1464942,1464942
Round 2,"Maharaja Agrasen College Of Engineering & Technology,J.P.Nagar",Computer Science and Engineering,HS,OPEN,Female-only (including Supernumerary),,768026,768026
Round 2,"A.N.A.College Of Engineering & Management,Bareilly",Information Technology,HS,OPEN,Gender-Neutral,,414149,414149
Round 2,"S.R.Institute Of Management & Technology,Lucknow",Electrical & Electronics Engineering (FW),HS,OPEN,Gender-Neutral,TF,1010445,1010445
Round 2,"S.R.Institute Of Management & Technology,Lucknow",Electronics and Communication Engineering (FW),HS,OPEN,Gender-Neutral,TF,482939,482939
Round 2,"S.R.Institute Of Management & Technology,Lucknow",Information Technology (FW),HS,OPEN,Gender-Neutral,TF,602336,602336
Round 2,"S.R.Institute Of Management & Technology,Lucknow",Mechanical Engineering,HS,OPEN,Gender-Neutral,,997214,997214
Round 2,"Suyash Institute Of Information Technology,Gorakhpur",Computer Science and Engineering,HS,OPEN,Gender-Neutral,,1382577,1382577
Round 2,"S.R.Institute Of Management & Technology,Lucknow",Computer Science And Engineering(Artificial Intelligence & Machine Learning),HS,OBC-NCL,Gender-Neutral,,1246115,1439514
Round 2,"S.R.Institute Of Management & Technology,Lucknow",Computer Science And Engineering(Data Science),HS,OPEN,Female-only (including Supernumerary),,1206419,1206419
Round 2,"A.N.A.College Of Engineering & Management,Bareilly",Computer Science and Engineering,HS,OPEN,Female-only (including Supernumerary),,629525,629525
