Round,Institute,Program,Quota,Seat,Gender,Note,Opening Rank (int),Closing Rank (int)
Round 1,"Rajkiya Engineering College,Ambedkar Nagar",Electrical Engineering,HS,OBC-NCL,Gender-Neutral,AF,1287295,1287295
Round 1,"Isabella Thoburn College (Professional Studies),Lucknow",Computer Science,HS,OBC-NCL,Female-only (including Supernumerary),,481422,481422
Round 1,"G.L. Bajaj Institute Of Technology & Management,Gautam Buddh Nagar",Computer Science And Engineering(Data Science),HS,SC,Female-only (including Supernumerary),,424167,927241
Round 1,"Bundelkhand Institute Of Engineering & Technology,Jhansi",Information Technology,HS,OBC-NCL (PwD),Gender-Neutral,,1032883,1032883
Round 1,"Vision Institute Of Technology,Kanpur",Computer Science And Engineering(Artificial Intelligence & Machine Learning),HS,OPEN,Gender-Neutral,,955791,955791
Round 1,"Babu Banarasi Das Institute Of Technology And Management, Lucknow",Computer Science And Engineering(Artificial Intelligence & Machine Learning),HS,SC,Gender-Neutral,,857431,857431
Round 1,"Kiet Group Of Institutions(Krishna Instt. Of Engg. & Technology),Ghaziabad",Mechanical Engineering,HS,SC,Gender-Neutral,,1205897,1306035
Round 1,"Shri Ram Swaroop Memorial College Of Engg. & Management,Lucknow",Computer Science And Engineering(Artificial Intelligence & Machine Learning),HS,SC,Female-only (including Supernumerary),,1255938,1255938
Round 1,"Maharana Pratap Engineering College,Kanpur",Civil Engineering,HS,OPEN,Gender-Neutral,,1197621,1197621
Round 1,"M. J. P. Ruhelkhand University, Bareilly",Electronics and Communication Engineering,HS,SC,Female-only (including Supernumerary),,561853,595820
Round 1,"Galgotia'S College Of Engg. & Technology,Gautam Buddh Nagar",Electronics Engineering (VLSI Design and Technology),HS,EWS,Female-only (including Supernumerary),,764724,764724
Round 1,"I.M.S. Engineering College,Ghaziabad",Computer Science,HS,EWS,Female-only (including Supernumerary),,988676,1112612
Round 1,"United College Of Engineering & Research,Allahabad",Civil Engineering,HS,OPEN,Female-only (including Supernumerary),,321241,1379400
Round 1,"Ambalika Institute Of Management & Technology,Lucknow",Computer Science And Engineering(Artificial Intelligence & Machine Learning),HS,OBC-NCL,Gender-Neutral,,1464178,1464178
Round 1,"Hindustan College Of Science & Technology,Mathura",Information Technology,HS,OPEN,Gender-Neutral,,1155227,1155227
Round 1,"Dr. Bhim Rao Ambedkar University, Agra",Electrical Engineering,HS,OPEN,Female-only (including Supernumerary),,516167,1208090
